   0 CSIM: 1 : 0.0091966 	 XGBOOST: 1 : 0.00036657  	 Conifer: 0.0058654 : 0.0091966 	 FPGA: 1 : 0.0091966 	 Target: 0 
 494 CSIM: 1 : 00.96486 	 XGBOOST: 1 : 00.99453  	 Conifer: 00.95114 : 00.96486 	 FPGA: 1 : 00.96486 	 Target: 1 
 495 CSIM: 1 : 0.017309 	 XGBOOST: 1 : 0.0038072  	 Conifer: 0.011869 : 0.017309 	 FPGA: 1 : 0.017309 	 Target: 0 
 496 CSIM: 1 : 0.017442 	 XGBOOST: 1 : 0.00028515  	 Conifer: 0.011597 : 0.017442 	 FPGA: 1 : 0.017442 	 Target: 0 
 497 CSIM: 1 : 00.99643 	 XGBOOST: 1 : 00.99965  	 Conifer: 00.99494 : 00.99643 	 FPGA: 1 : 00.99643 	 Target: 1 
 498 CSIM: 1 : 00.93629 	 XGBOOST: 1 : 00.96645  	 Conifer: 00.91244 : 00.93629 	 FPGA: 1 : 00.93629 	 Target: 1 
 499 CSIM: 1 : 000.9926 	 XGBOOST: 1 : 00.99911  	 Conifer: 00.98951 : 000.9926 	 FPGA: 1 : 000.9926 	 Target: 1 
 500 CSIM: 1 : 0.0040701 	 XGBOOST: 1 : 8.0113e-05  	 Conifer: 0.0026523 : 0.0040701 	 FPGA: 1 : 0.0040701 	 Target: 0 
 501 CSIM: 1 : 0.0049823 	 XGBOOST: 1 : 0.00030784  	 Conifer: 0.0031481 : 0.0049823 	 FPGA: 1 : 0.0049823 	 Target: 0 
 502 CSIM: 1 : 0.014282 	 XGBOOST: 1 : 0.002959  	 Conifer: 0.010091 : 0.014282 	 FPGA: 1 : 0.014282 	 Target: 0 
 503 CSIM: 1 : 00.99539 	 XGBOOST: 1 : 00.99943  	 Conifer: 00.99371 : 00.99539 	 FPGA: 1 : 00.99539 	 Target: 1 
 504 CSIM: 1 : 00.99711 	 XGBOOST: 1 : 00.99934  	 Conifer: 00.99596 : 00.99711 	 FPGA: 1 : 00.99711 	 Target: 1 
 505 CSIM: 1 : 0.013121 	 XGBOOST: 1 : 0.00029914  	 Conifer: 0.0085113 : 0.013121 	 FPGA: 1 : 0.013121 	 Target: 0 
 506 CSIM: 1 : 00.15103 	 XGBOOST: 1 : 0.0035799  	 Conifer: 00.10159 : 00.15103 	 FPGA: 1 : 00.15103 	 Target: 0 
 507 CSIM: 1 : 00.98088 	 XGBOOST: 1 : 00.99695  	 Conifer: 00.97262 : 00.98088 	 FPGA: 1 : 00.98088 	 Target: 1 
 508 CSIM: 1 : 0.015306 	 XGBOOST: 1 : 0.00053954  	 Conifer: 0.010014 : 0.015306 	 FPGA: 1 : 0.015306 	 Target: 0 
 509 CSIM: 1 : 0.043691 	 XGBOOST: 1 : 0.0016964  	 Conifer: 0.028871 : 0.043691 	 FPGA: 1 : 0.043691 	 Target: 0 
 510 CSIM: 1 : 00.12169 	 XGBOOST: 1 : 0.0038917  	 Conifer: 0.082107 : 00.12169 	 FPGA: 1 : 00.12169 	 Target: 1 
 511 CSIM: 1 : 00.12337 	 XGBOOST: 1 : 0.0018047  	 Conifer: 0.082107 : 00.12337 	 FPGA: 1 : 00.12337 	 Target: 0 
 512 CSIM: 1 : 00.47853 	 XGBOOST: 1 : 00.49428  	 Conifer: 00.38676 : 00.47853 	 FPGA: 1 : 00.47853 	 Target: 0 
 513 CSIM: 1 : 00.99181 	 XGBOOST: 1 : 00.99866  	 Conifer: 00.98858 : 00.99181 	 FPGA: 1 : 00.99181 	 Target: 1 
 514 CSIM: 1 : 00.98785 	 XGBOOST: 1 : 00.99923  	 Conifer: 00.98309 : 00.98785 	 FPGA: 1 : 00.98785 	 Target: 1 
 515 CSIM: 1 : 00.95631 	 XGBOOST: 1 : 00.99616  	 Conifer: 00.93947 : 00.95631 	 FPGA: 1 : 00.95631 	 Target: 1 
 516 CSIM: 1 : 000.9908 	 XGBOOST: 1 : 00.99684  	 Conifer: 00.98698 : 000.9908 	 FPGA: 1 : 000.9908 	 Target: 1 
 517 CSIM: 1 : 0.090735 	 XGBOOST: 1 : 0.00051744  	 Conifer: 0.060975 : 0.090735 	 FPGA: 1 : 0.090735 	 Target: 0 
 518 CSIM: 1 : 00.99326 	 XGBOOST: 1 : 00.99932  	 Conifer: 00.99006 : 00.99326 	 FPGA: 1 : 00.99326 	 Target: 1 
 519 CSIM: 1 : 0.069038 	 XGBOOST: 1 : 0.039712  	 Conifer: 0.046725 : 0.069038 	 FPGA: 1 : 0.069038 	 Target: 0 
 520 CSIM: 1 : 0.012241 	 XGBOOST: 1 : 0.00085063  	 Conifer: 0.008062 : 0.012241 	 FPGA: 1 : 0.012241 	 Target: 0 
 521 CSIM: 1 : 00.99797 	 XGBOOST: 1 : 00.99928  	 Conifer: 00.99716 : 00.99797 	 FPGA: 1 : 00.99797 	 Target: 1 
